data_iniSE,epidemiological_week,estimated_cases,casos_est_min,casos_est_max,notified_cases,p_rt1,p_inc100k,Localidade_id,alert_level,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,date,year,month,city_name,uf,population,lat,lon,incidence_rate_per_100k,alert_status,avg_temp_c,total_precipitation_mm
1672531200000,202301,230,230,230.0,230,0.99999976,3.4085107,0,3,330455720230119740,2024-01-18,Rio de Janeiro,0,1.7139512,6747815,22.4285714285714,92.5873994285714,1,1,1,78.1880928571429,63.0343021428571,24.9761905714286,28.4285714285714,106,,,,,231182,2023-01-01,2023,1,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,3.7,Alert (Orange),25.2,2.8
1673136000000,202302,218,218,218.0,218,0.995155,3.2306755,0,3,330455720230219747,2024-01-25,Rio de Janeiro,0,1.3026527,6747815,23.4285714285714,89.9808285714286,1,1,1,82.592395,69.3316824285714,25.0714285714286,28.2857142857143,92,,,,,231182,2023-01-08,2023,1,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,3.51,Alert (Orange),23.8,113.6
1673740800000,202303,246,246,246.0,246,0.9771994,3.6456246,0,3,330455720230319747,2024-01-25,Rio de Janeiro,0,1.2077812,6747815,26.7142857142857,77.1570837142857,1,1,1,77.1570837142857,77.1570837142857,26.7142857142857,26.7142857142857,125,,,,,231182,2023-01-15,2023,1,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,3.96,Alert (Orange),26.6,25.3
1674345600000,202304,312,312,312.0,312,0.9998428,4.6237187,0,3,330455720230419752,2024-01-30,Rio de Janeiro,0,1.3656247,6747815,25.1428571428571,82.1437925714286,1,1,1,82.1437925714286,82.1437925714286,25.1428571428571,25.1428571428571,144,,,,,231182,2023-01-22,2023,1,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,5.02,Alert (Orange),25.6,23.9
1674950400000,202305,383,383,383.0,383,0.99999934,5.6759114,0,3,330455720230519760,2024-02-07,Rio de Janeiro,0,1.4696335,6747815,25.5714285714286,83.8827211428571,1,1,1,79.6925188571429,72.2570682857143,26.5773808571429,28.5714285714286,203,,,,,231182,2023-01-29,2023,1,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,6.17,Alert (Orange),25.8,31.9
1675555200000,202306,525,525,525.0,525,1.0,7.923513,0,3,330455720230619768,2024-02-15,Rio de Janeiro,0,1.6493363,6625849,25.2857142857143,84.6093591428571,1,1,1,83.9598165714286,83.310275,25.2857142857143,25.2857142857143,295,,,,,231182,2023-02-05,2023,2,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,8.45,Alert (Orange),27.3,8.5
1676160000000,202307,372,372,372.0,372,0.2526511,5.6143746,0,3,330455720230719774,2024-02-21,Rio de Janeiro,0,0.95291066,6625849,24.9333333333333,86.4308133333333,1,0,1,83.6260754666667,80.823998,25.3888888,25.8,176,,,,,231182,2023-02-12,2023,2,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,5.99,Alert (Orange),25.5,59.1
1676764800000,202308,507,507,507.0,507,0.9888539,7.6518497,0,2,330455720230819780,2024-02-27,Rio de Janeiro,0,1.1605749,6625849,23.76,91.9395964,1,1,1,78.69903688,61.2907004,26.96333344,31.24,237,,,,,231182,2023-02-19,2023,2,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,8.16,Attention (Yellow),27.2,41.3
1677369600000,202309,870,870,870.0,870,1.0,13.130393,0,3,330455720230919787,2024-03-05,Rio de Janeiro,0,1.8623381,6625849,26.5652173913043,79.2728502608696,1,1,2,76.7611115652174,74.7959257391304,27.0942027826087,27.5652173913043,443,,,,,231182,2023-02-26,2023,2,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,14.01,Alert (Orange),26.7,14.2
1677974400000,202310,945,945,945.0,945,1.0,14.262323,0,3,330455720231019795,2024-03-13,Rio de Janeiro,0,1.6172416,6625849,25.8571428571429,81.5570647142857,1,1,2,79.748143,78.1524784285714,26.1666665714286,26.4285714285714,455,,,,,231182,2023-03-05,2023,3,Rio de Janeiro,RJ,6211423,-22.9068,-43.1729,15.21,Alert (Orange),26.8,9.1
